Source Titles	records	% of 1289
2014 IEEE SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE IN ENSEMBLE LEARNING CIEL	1	0.078
2014 IEEE WIC ACM INTERNATIONAL JOINT CONFERENCES ON WEB INTELLIGENCE WI AND INTELLIGENT AGENT TECHNOLOGIES IAT VOL 2	1	0.078
2014 IEEE WINTER CONFERENCE ON APPLICATIONS OF COMPUTER VISION WACV	1	0.078
2014 TENTH INTERNATIONAL CONFERENCE ON INTELLIGENT INFORMATION HIDING AND MULTIMEDIA SIGNAL PROCESSING IIH MSP 2014	1	0.078
2015 10TH INTERNATIONAL CONFERENCE ON INTELLIGENT SYSTEMS THEORIES AND APPLICATIONS SITA	1	0.078
2015 12TH CONFERENCE ON COMPUTER AND ROBOT VISION CRV 2015	1	0.078
2015 18TH INTERNATIONAL CONFERENCE ON INFORMATION FUSION FUSION	1	0.078
2015 21ST KOREA JAPAN JOINT WORKSHOP ON FRONTIERS OF COMPUTER VISION	1	0.078
2015 EIGHTH INTERNATIONAL CONFERENCE ON ADVANCES IN PATTERN RECOGNITION ICAPR	1	0.078
2015 FIFTH NATIONAL CONFERENCE ON COMPUTER VISION PATTERN RECOGNITION IMAGE PROCESSING AND GRAPHICS NCVPRIPG	1	0.078
2015 IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION WORKSHOPS CVPRW	1	0.078
2015 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION CEC	1	0.078
2015 IEEE INTERNATIONAL CONFERENCE ON COMPUTER VISION WORKSHOP ICCVW	1	0.078
2015 IEEE INTERNATIONAL CONFERENCE ON EVOLVING AND ADAPTIVE INTELLIGENT SYSTEMS EAIS	1	0.078
2015 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION ICRA	1	0.078
2015 INTERNATIONAL CONFERENCE ON DIGITAL IMAGE COMPUTING TECHNIQUES AND APPLICATIONS DICTA	1	0.078
2015 INTERNATIONAL WORKSHOP ON PATTERN RECOGNITION IN NEUROIMAGING PRNI 2015	1	0.078
2015 SIXTH INTERNATIONAL CONFERENCE ON INTELLIGENT CONTROL AND INFORMATION PROCESSING ICICIP	1	0.078
2016 3RD INTERNATIONAL CONFERENCE ON RECENT ADVANCES IN INFORMATION TECHNOLOGY RAIT	1	0.078
2016 CONFERENCE ON TECHNOLOGIES AND APPLICATIONS OF ARTIFICIAL INTELLIGENCE TAAI	1	0.078
2016 EIGHTH INTERNATIONAL CONFERENCE ON ADVANCED COMPUTING ICOAC	1	0.078
2016 IEEE 8TH INTERNATIONAL CONFERENCE ON INTELLIGENT SYSTEMS IS	1	0.078
2016 IEEE CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND GAMES CIG	1	0.078
2016 IEEE INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS FUZZ IEEE	1	0.078
2016 IEEE RIVF INTERNATIONAL CONFERENCE ON COMPUTING COMMUNICATION TECHNOLOGIES RESEARCH INNOVATION AND VISION FOR THE FUTURE RIVF	1	0.078
2016 IEEE RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS IROS 2016	1	0.078
2016 IEEE WIC ACM INTERNATIONAL CONFERENCE ON WEB INTELLIGENCE WI 2016	1	0.078
2016 IEEE WINTER CONFERENCE ON APPLICATIONS OF COMPUTER VISION WACV 2016	1	0.078
2016 INTERNATIONAL CONFERENCE ON INDOOR POSITIONING AND INDOOR NAVIGATION IPIN	1	0.078
2016 SIXTH INTERNATIONAL CONFERENCE ON IMAGE PROCESSING THEORY TOOLS AND APPLICATIONS IPTA	1	0.078
2017 10TH INTERNATIONAL CONFERENCE ON HUMAN SYSTEM INTERACTIONS HSI	1	0.078
2017 10TH INTERNATIONAL SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE AND DESIGN ISCID VOL 1	1	0.078
2017 10TH INTERNATIONAL SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE AND DESIGN ISCID VOL 2	1	0.078
2017 10TH IRANIAN CONFERENCE ON MACHINE VISION AND IMAGE PROCESSING MVIP	1	0.078
2017 14TH IAPR INTERNATIONAL CONFERENCE ON DOCUMENT ANALYSIS AND RECOGNITION ICDAR 2017 VOL 7	1	0.078
2017 19TH CSI INTERNATIONAL SYMPOSIUM ON ARTIFICIAL INTELLIGENCE AND SIGNAL PROCESSING AISP	1	0.078
2017 1ST INTERNATIONAL CONFERENCE ON INFORMATICS AND COMPUTATIONAL SCIENCES ICICOS	1	0.078
2017 21ST ASIA PACIFIC SYMPOSIUM ON INTELLIGENT AND EVOLUTIONARY SYSTEMS IES	1	0.078
2017 25TH SIGNAL PROCESSING AND COMMUNICATIONS APPLICATIONS CONFERENCE SIU	1	0.078
2017 2ND IEEE INTERNATIONAL CONFERENCE ON CLOUD COMPUTING AND BIG DATA ANALYSIS ICCCBDA 2017	1	0.078
2017 2ND INTERNATIONAL CONFERENCE ON IMAGE VISION AND COMPUTING ICIVC 2017	1	0.078
2017 2ND INTERNATIONAL CONFERENCE ON INTELLIGENT INFORMATICS AND BIOMEDICAL SCIENCES ICIIBMS	1	0.078
2017 30TH SIBGRAPI CONFERENCE ON GRAPHICS PATTERNS AND IMAGES SIBGRAPI	1	0.078
2017 5TH INTERNATIONAL CONFERENCE ON ENTERPRISE SYSTEMS ES	1	0.078
2017 5TH INTERNATIONAL CONFERENCE ON INFORMATION AND COMMUNICATION TECHNOLOGY ICOIC7	1	0.078
2017 5TH INTERNATIONAL SYMPOSIUM ON COMPUTATIONAL AND BUSINESS INTELLIGENCE ISCBI	1	0.078
2017 6TH BRAZILIAN CONFERENCE ON INTELLIGENT SYSTEMS BRACIS	1	0.078
2017 IEEE 16TH INTERNATIONAL CONFERENCE ON COGNITIVE INFORMATICS COGNITIVE COMPUTING ICCI CC	1	0.078
2017 IEEE 2ND INTERNATIONAL CONFERENCE ON SIGNAL AND IMAGE PROCESSING ICSIP	1	0.078
2017 IEEE 7TH ANNUAL INTERNATIONAL CONFERENCE ON CYBER TECHNOLOGY IN AUTOMATION CONTROL AND INTELLIGENT SYSTEMS CYBER	1	0.078
2017 IEEE APPLIED IMAGERY PATTERN RECOGNITION WORKSHOP AIPR	1	0.078
2017 IEEE INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND COMPUTING RESEARCH ICCIC	1	0.078
2017 IEEE INTERNATIONAL CONFERENCE ON INDUSTRIAL AND INFORMATION SYSTEMS ICIIS	1	0.078
2017 IEEE INTERNATIONAL CONFERENCE ON INTERNET OF THINGS ITHINGS AND IEEE GREEN COMPUTING AND COMMUNICATIONS GREENCOM AND IEEE CYBER PHYSICAL AND SOCIAL COMPUTING CPSCOM AND IEEE SMART DATA SMARTDATA	1	0.078
2017 IEEE INTERNATIONAL CONFERENCE ON SERVICES COMPUTING SCC	1	0.078
2017 IEEE INTERNATIONAL WORKSHOP ON SIGNAL PROCESSING SYSTEMS SIPS	1	0.078
2017 IEEE WIC ACM INTERNATIONAL CONFERENCE ON WEB INTELLIGENCE WI 2017	1	0.078
2017 INTERNATIONAL AUTOMATIC CONTROL CONFERENCE CACS	1	0.078
2017 INTERNATIONAL CONFERENCE OF THE BIOMETRICS SPECIAL INTEREST GROUP BIOSIG	1	0.078
2017 INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTING AND CONTROL SYSTEMS ICICCS	1	0.078
2017 INTERNATIONAL CONFERENCE ON WAVELET ANALYSIS AND PATTERN RECOGNITION ICWAPR	1	0.078
2017 INTERNATIONAL SMART CITIES CONFERENCE ISC2	1	0.078
2017 NEW YORK SCIENTIFIC DATA SUMMIT NYSDS	1	0.078
2017 NINTH INTERNATIONAL CONFERENCE ON ADVANCES IN PATTERN RECOGNITION ICAPR	1	0.078
2017 TWELFTH INTERNATIONAL CONFERENCE ON DIGITAL INFORMATION MANAGEMENT ICDIM	1	0.078
2017 WORKSHOP OF COMPUTER VISION WVC	1	0.078
2018 13TH WORLD CONGRESS ON INTELLIGENT CONTROL AND AUTOMATION WCICA	1	0.078
2018 14TH SYMPOSIUM ON NEURAL NETWORKS AND APPLICATIONS NEUREL	1	0.078
2018 16TH IEEE INT CONF ON DEPENDABLE AUTONOM AND SECURE COMP 16TH IEEE INT CONF ON PERVAS INTELLIGENCE AND COMP 4TH IEEE INT CONF ON BIG DATA INTELLIGENCE AND COMP 3RD IEEE CYBER SCI AND TECHNOL CONGRESS DASC PICOM DATACOM CYBERSCITECH	1	0.078
2018 55TH ACM ESDA IEEE DESIGN AUTOMATION CONFERENCE DAC	1	0.078
2018 EIGHTH INTERNATIONAL CONFERENCE ON IMAGE PROCESSING THEORY TOOLS AND APPLICATIONS IPTA	1	0.078
2018 FIRST ASIAN CONFERENCE ON AFFECTIVE COMPUTING AND INTELLIGENT INTERACTION ACII ASIA	1	0.078
2018 IEEE 28TH INTERNATIONAL WORKSHOP ON MACHINE LEARNING FOR SIGNAL PROCESSING MLSP	1	0.078
2018 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION CEC	1	0.078
2018 IEEE INTERNATIONAL CONFERENCE ON AGENTS ICA	1	0.078
2018 IEEE INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS FUZZ IEEE	1	0.078
2018 IEEE INTERNATIONAL CONFERENCE ON INTELLIGENCE AND SAFETY FOR ROBOTICS ISR	1	0.078
2018 INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND DATA PROCESSING IDAP	1	0.078
2018 INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND PATTERN RECOGNITION AIPR 2018	1	0.078
2018 INTERNATIONAL CONFERENCE ON AUDIO LANGUAGE AND IMAGE PROCESSING ICALIP	1	0.078
2018 INTERNATIONAL CONFERENCE ON CONTROL AUTOMATION AND INFORMATION SCIENCES ICCAIS	1	0.078
2018 INTERNATIONAL CONFERENCE ON IMAGE AND VIDEO PROCESSING AND ARTIFICIAL INTELLIGENCE	1	0.078
2018 INTERNATIONAL CONFERENCE ON INTELLIGENT AND INNOVATIVE COMPUTING APPLICATIONS ICONIC	1	0.078
2018 INTERNATIONAL CONFERENCE ON INTELLIGENT AUTONOMOUS SYSTEMS ICOIAS	1	0.078
2018 INTERNATIONAL CONFERENCE ON INTELLIGENT SYSTEMS AND COMPUTER VISION ISCV2018	1	0.078
3RD ANNUAL INTERNATIONAL CONFERENCE ON INFORMATION SYSTEM AND ARTIFICIAL INTELLIGENCE ISAI2018	1	0.078
7TH INTERNATIONAL CONFERENCE ON ADVANCES IN COMPUTING COMMUNICATIONS ICACC 2017	1	0.078
ACTIVE MEDIA TECHNOLOGY AMT 2014	1	0.078
ADAPTIVE AND LEARNING AGENTS	1	0.078
ADVANCED ENGINEERING INFORMATICS	1	0.078
ADVANCES IN ARTIFICIAL INTELLIGENCE AI 2015	1	0.078
ADVANCES IN ARTIFICIAL INTELLIGENCE CANADIAN AI 2017	1	0.078
ADVANCES IN COMPUTATIONAL INTELLIGENCE SYSTEMS	1	0.078
ADVANCES IN COMPUTATIONAL INTELLIGENCE SYSTEMS UKCI	1	0.078
ADVANCES IN COMPUTER GAMES ACG 2015	1	0.078
ADVANCES IN INTELLIGENT AND SOFT COMPUTING	1	0.078
ADVANCES IN INTELLIGENT DATA ANALYSIS XV	1	0.078
ADVANCES IN INTELLIGENT SYSTEMS RESEARCH	1	0.078
ADVANCES IN KNOWLEDGE DISCOVERY AND DATA MINING PAKDD 2016 PT I	1	0.078
ADVANCES IN KNOWLEDGE DISCOVERY AND DATA MINING PART I	1	0.078
ADVANCES IN KNOWLEDGE DISCOVERY AND DATA MINING PROCEEDINGS	1	0.078
ADVANCES IN MACHINE LEARNING PROCEEDINGS	1	0.078
ADVANCES IN MULTIMEDIA INFORMATION PROCESSING PCM 2009	1	0.078
ADVANCES IN MULTIMEDIA INFORMATION PROCESSING PCM 2017 PT I	1	0.078
ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 27 NIPS 2014	1	0.078
ADVANCES IN NEURAL NETWORKS ISNN 2010 PT 1 PROCEEDINGS	1	0.078
ADVANCES IN NEURAL NETWORKS PT II	1	0.078
ADVANCES IN VISUAL COMPUTING ISVC 2014 PT II	1	0.078
AGENTS AND ARTIFICIAL INTELLIGENCE ICAART 2017	1	0.078
AI 2015 ADVANCES IN ARTIFICIAL INTELLIGENCE	1	0.078
AI COMMUNICATIONS	1	0.078
ALGORITHMIC LEARNING THEORY ALT 2015	1	0.078
AMBIENT INTELLIGENCE AND SMART ENVIRONMENTS	1	0.078
AMBIENT INTELLIGENCE FOR HEALTH AMIHEALTH 2015	1	0.078
APPLIED MECHANICS AND MATERIALS	1	0.078
ARTIFICIAL GENERAL INTELLIGENCE AGI 2015	1	0.078
ARTIFICIAL INTELLIGENCE AND NATURAL LANGUAGE	1	0.078
ARTIFICIAL INTELLIGENCE APPLICATIONS AND INNOVATIONS AIAI 2013	1	0.078
ARTIFICIAL INTELLIGENCE IN EDUCATION	1	0.078
ARTIFICIAL INTELLIGENCE IN EDUCATION AIED 2015	1	0.078
ARTIFICIAL INTELLIGENCE IN MEDICINE AIME 2015	1	0.078
ARTIFICIAL INTELLIGENCE REVIEW	1	0.078
ARTIFICIAL NEURAL NETWORKS AND MACHINE LEARNING ICANN 2017 PT I	1	0.078
AUGMENTED COGNITION NEUROCOGNITION AND MACHINE LEARNING AC 2017 PT I	1	0.078
AUTONOMOUS AGENTS AND MULTI AGENT SYSTEMS	1	0.078
AUTONOMOUS ROBOTS	1	0.078
BIOMETRIC RECOGNITION CCBR 2015	1	0.078
CACS INTERNATIONAL AUTOMATIC CONTROL CONFERENCE	1	0.078
CASE BASED REASONING RESEARCH AND DEVELOPMENT ICCBR 2016	1	0.078
CASE BASED REASONING RESEARCH AND DEVELOPMENT PROCEEDINGS	1	0.078
CHINESE COMPUTATIONAL LINGUISTICS AND NATURAL LANGUAGE PROCESSING BASED ON NATURALLY ANNOTATED BIG DATA	1	0.078
CHINESE COMPUTATIONAL LINGUISTICS AND NATURAL LANGUAGE PROCESSING BASED ON NATURALLY ANNOTATED BIG DATA CCL 2017	1	0.078
COMPUTATIONAL COLLECTIVE INTELLIGENCE ICCCI 2018 PT II	1	0.078
COMPUTATIONAL INTELLIGENCE FOUNDATIONS AND APPLICATIONS	1	0.078
COMPUTATIONAL LINGUISTICS AND INTELLIGENT TEXT PROCESSING CICLING 2014 PT I	1	0.078
COMPUTER SPEECH AND LANGUAGE	1	0.078
COMPUTER VISION ACCV 2009 PT III	1	0.078
COMPUTER VISION ACCV 2010 PT III	1	0.078
COMPUTER VISION ACCV 2014 PT III	1	0.078
COMPUTER VISION ACCV 2014 PT V	1	0.078
COMPUTER VISION ACCV 2016 PT II	1	0.078
COMPUTER VISION ECCV 2010 PT II	1	0.078
COMPUTER VISION ECCV 2010 PT V	1	0.078
COMPUTER VISION ECCV 2012 PT I	1	0.078
COMPUTER VISION ECCV 2012 PT V	1	0.078
COMPUTER VISION ECCV 2012 WORKSHOPS AND DEMONSTRATIONS PT I	1	0.078
COMPUTER VISION ECCV 2014 PT II	1	0.078
COMPUTER VISION ECCV 2014 PT III	1	0.078
COMPUTER VISION ECCV 2016 PT III	1	0.078
COMPUTER VISION ECCV 2016 PT V	1	0.078
COMPUTER VISION PT II	1	0.078
CONFERENCE ON HUMAN SYSTEM INTERACTION	1	0.078
DATA INTEGRATION IN THE LIFE SCIENCES DILS 2015	1	0.078
DATA SCIENCE PT 1	1	0.078
DISCOVERY SCIENCE DS 2010	1	0.078
DISCOVERY SCIENCE PROCEEDINGS	1	0.078
DISTRIBUTED AUTONOMOUS ROBOTIC SYSTEMS	1	0.078
DISTRIBUTED COMPUTING AND ARTIFICIAL INTELLIGENCE	1	0.078
ENGINEERING APPLICATIONS OF NEURAL NETWORKS PT I	1	0.078
EVOLVING SYSTEMS	1	0.078
FIRST IITA INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE PROCEEDINGS	1	0.078
FOUNDATIONS OF INTELLIGENT SYSTEMS ISKE 2013	1	0.078
HUMAN BEHAVIOR UNDERSTANDING HBU 2013	1	0.078
HYBRID ARTIFICIAL INTELLIGENT SYSTEMS	1	0.078
HYBRID ARTIFICIAL INTELLIGENT SYSTEMS HAIS 2018	1	0.078
HYBRID ARTIFICIAL INTELLIGENT SYSTEMS PT II	1	0.078
ICAART 2011 PROCEEDINGS OF THE 3RD INTERNATIONAL CONFERENCE ON AGENTS AND ARTIFICIAL INTELLIGENCE VOL 2	1	0.078
ICAART PROCEEDINGS OF THE 9TH INTERNATIONAL CONFERENCE ON AGENTS AND ARTIFICIAL INTELLIGENCE VOL 2	1	0.078
ICMI 12 PROCEEDINGS OF THE ACM INTERNATIONAL CONFERENCE ON MULTIMODAL INTERACTION	1	0.078
ICMI 16 PROCEEDINGS OF THE 18TH ACM INTERNATIONAL CONFERENCE ON MULTIMODAL INTERACTION	1	0.078
ICTAI 2009 21ST INTERNATIONAL CONFERENCE ON TOOLS WITH ARTIFICIAL INTELLIGENCE	1	0.078
IEEE 27TH INTERNATIONAL CONFERENCE ON DATA ENGINEERING ICDE 2011	1	0.078
IEEE ANNUAL INTERNATIONAL CONFERENCE ON CYBER TECHNOLOGY IN AUTOMATION CONTROL AND INTELLIGENT SYSTEMS	1	0.078
IEEE APPLIED IMAGERY PATTERN RECOGNITION WORKSHOP	1	0.078
IEEE CONFERENCE ON CYBERNETICS AND INTELLIGENT SYSTEMS	1	0.078
IEEE CONFERENCE ON EVOLVING AND ADAPTIVE INTELLIGENCE SYSTEMS	1	0.078
IEEE INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND COMPUTING RESEARCH	1	0.078
IEEE INTERNATIONAL CONFERENCE ON DATA ENGINEERING	1	0.078
IEEE INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS FUZZ 2011	1	0.078
IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION ICRA	1	0.078
IEEE INTERNATIONAL CONFERENCE ON SEMANTIC COMPUTING	1	0.078
IEEE INTERNATIONAL SYMPOSIUM ON MULTIMEDIA ISM	1	0.078
IEEE RSJ 2010 INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS IROS 2010	1	0.078
IEEE TRANSACTIONS ON AUTONOMOUS MENTAL DEVELOPMENT	1	0.078
IEEE TRANSACTIONS ON NEURAL NETWORKS	1	0.078
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B CYBERNETICS	1	0.078
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART C APPLICATIONS AND REVIEWS	1	0.078
IEEE WORKSHOP ON APPLICATIONS OF COMPUTER VISION	1	0.078
IET BIOMETRICS	1	0.078
IET IMAGE PROCESSING	1	0.078
IMAGE ANALYSIS AND PROCESSING ICIAP 2015 PT I	1	0.078
IMAGE ANALYSIS AND PROCESSING ICIAP 2015 PT II	1	0.078
IMAGE ANALYSIS AND PROCESSING ICIAP 2017 PT II	1	0.078
IMAGE ANALYSIS AND RECOGNITION ICIAR 2014 PT I	1	0.078
IMAGE ANALYSIS AND RECOGNITION ICIAR 2016	1	0.078
IMAGE ANALYSIS SCIA 2017 PT I	1	0.078
INDUCTIVE LOGIC PROGRAMMING	1	0.078
INDUCTIVE LOGIC PROGRAMMING 23RD INTERNATIONAL CONFERENCE	1	0.078
INFORMATION AND INFERENCE A JOURNAL OF THE IMA	1	0.078
INFORMATION PROCESSING AND MANAGEMENT OF UNCERTAINTY IN KNOWLEDGE BASED SYSTEMS PT II	1	0.078
INFORMATION RETRIEVAL TECHNOLOGY AIRS 2015	1	0.078
INFORMATION TECHNOLOGY NEW GENERATIONS	1	0.078
INTEGRATED UNCERTAINTY IN KNOWLEDGE MODELLING AND DECISION MAKING IUKM 2015	1	0.078
INTELLIGENT AUTONOMOUS SYSTEMS 13	1	0.078
INTELLIGENT COMPUTING THEORY	1	0.078
INTELLIGENT DATA ENGINEERING AND AUTOMATED LEARNING IDEAL 2013	1	0.078
INTELLIGENT ENVIRONMENTS 2009	1	0.078
INTELLIGENT INFORMATION AND DATABASE SYSTEMS ACIIDS 2018 PT II	1	0.078
INTELLIGENT INFORMATION PROCESSING IX	1	0.078
INTERNATIONAL CONFERENCE ON 3D VISION	1	0.078
INTERNATIONAL CONFERENCE ON ADVANCED COMPUTING	1	0.078
INTERNATIONAL CONFERENCE ON CONTROL AUTOMATION AND INFORMATION SCIENCES	1	0.078
INTERNATIONAL CONFERENCE ON ENTERPRISE SYSTEMS ES	1	0.078
INTERNATIONAL CONFERENCE ON INDOOR POSITIONING AND INDOOR NAVIGATION	1	0.078
INTERNATIONAL CONFERENCE ON INDUSTRIAL AND INFORMATION SYSTEMS	1	0.078
INTERNATIONAL CONFERENCE ON INTELLIGENT HUMAN MACHINE SYSTEMS AND CYBERNETICS	1	0.078
INTERNATIONAL CONFERENCE ON MACHINE LEARNING AND CYBERNETICS	1	0.078
INTERNATIONAL CONFERENCE ON SOFT COMPUTING AND PATTERN RECOGNITION	1	0.078
INTERNATIONAL CONFERENCE ON TECHNOLOGIES AND APPLICATIONS OF ARTIFICIAL INTELLIGENCE TAAI 2010	1	0.078
INTERNATIONAL CONFERENCE ON WAVELET ANALYSIS AND PATTERN RECOGNITION	1	0.078
INTERNATIONAL JOURNAL OF APPROXIMATE REASONING	1	0.078
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY DECISION MAKING	1	0.078
INTERNATIONAL JOURNAL OF MACHINE LEARNING AND CYBERNETICS	1	0.078
INTERNATIONAL JOURNAL ON DOCUMENT ANALYSIS AND RECOGNITION	1	0.078
IRANIAN CONFERENCE ON MACHINE VISION AND IMAGE PROCESSING	1	0.078
JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING	1	0.078
JOURNAL OF EXPERIMENTAL THEORETICAL ARTIFICIAL INTELLIGENCE	1	0.078
JOURNAL OF INTELLIGENT SYSTEMS	1	0.078
JOURNAL OF PHYSICS CONFERENCE SERIES	1	0.078
JOURNAL OF REAL TIME IMAGE PROCESSING	1	0.078
JOURNAL ON MULTIMODAL USER INTERFACES	1	0.078
KDD 09 15TH ACM SIGKDD CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING	1	0.078
KNOWLEDGE ACQUISITION APPROACHES ALGORITHMS AND APPLICATIONS	1	0.078
KNOWLEDGE BASED AND INTELLIGENT INFORMATION ENGINEERING SYSTEMS 19TH ANNUAL CONFERENCE KES 2015	1	0.078
KNOWLEDGE SCIENCE ENGINEERING AND MANAGEMENT	1	0.078
KNOWLEDGE SCIENCE ENGINEERING AND MANAGEMENT KSEM 2016	1	0.078
KNOWLEDGE SCIENCE ENGINEERING AND MANAGEMENT KSEM 2017	1	0.078
KOREA JAPAN JOINT WORKSHOP ON FRONTIERS OF COMPUTER VISION	1	0.078
LECTURE NOTES IN BIOINFORMATICS	1	0.078
LECTURE NOTES IN INFORMATICS PROCEEDINGS	1	0.078
LECTURE NOTES ON DATA ENGINEERING AND COMMUNICATIONS TECHNOLOGIES	1	0.078
MACHINE LEARNING AND DATA MINING IN PATTERN RECOGNITION MLDM 2015	1	0.078
MACHINE LEARNING AND KNOWLEDGE DISCOVERY IN DATABASES ECML PKDD 2017 PT II	1	0.078
MACHINE LEARNING AND KNOWLEDGE DISCOVERY IN DATABASES ECML PKDD 2017 PT III	1	0.078
MACHINE LEARNING IN MEDICAL IMAGING	1	0.078
MACHINE LEARNING IN MEDICAL IMAGING MLMI 2014	1	0.078
MACHINE LEARNING IN MEDICAL IMAGING MLMI 2016	1	0.078
MEDICAL IMAGE COMPUTING AND COMPUTER ASSISTED INTERVENTION MICCAI 2012 PT I	1	0.078
MEDICAL IMAGE COMPUTING AND COMPUTER ASSISTED INTERVENTION MICCAI 2012 PT III	1	0.078
MIPPR 2013 PATTERN RECOGNITION AND COMPUTER VISION	1	0.078
MULTI AGENT BASED SIMULATION XV	1	0.078
NATURAL LANGUAGE UNDERSTANDING AND INTELLIGENT APPLICATIONS NLPCC 2016	1	0.078
NEURAL INFORMATION PROCESSING ICONIP 2016 PT II	1	0.078
NEXT GENERATION ROBOTICS II AND MACHINE INTELLIGENCE AND BIO INSPIRED COMPUTATION THEORY AND APPLICATIONS IX	1	0.078
NINTH INTERNATIONAL CONFERENCE ON MACHINE VISION ICMV 2016	1	0.078
PATTERN RECOGNITION AND IMAGE ANALYSIS IBPRIA 2013	1	0.078
PATTERN RECOGNITION AND IMAGE ANALYSIS IBPRIA 2015	1	0.078
PATTERN RECOGNITION APPLICATIONS AND METHODS	1	0.078
PATTERN RECOGNITION APPLICATIONS AND METHODS ICPRAM 2013	1	0.078
PATTERN RECOGNITION GCPR 2016	1	0.078
PROCEEDINGS 2017 INTERNATIONAL CONFERENCE ON 3D VISION 3DV	1	0.078
PROCEEDINGS 2018 IEEE ACM 1ST INTERNATIONAL WORKSHOP ON SOFTWARE ENGINEERING FOR AI IN AUTONOMOUS SYSTEMS SEFAIAS	1	0.078
PROCEEDINGS IN ADAPTATION LEARNING AND OPTIMIZATION	1	0.078
PROCEEDINGS OF 12TH IAPR WORKSHOP ON DOCUMENT ANALYSIS SYSTEMS DAS 2016	1	0.078
PROCEEDINGS OF 13TH LATIN AMERICAN ROBOTICS SYMPOSIUM AND 4TH BRAZILIAN SYMPOSIUM ON ROBOTICS LARS SBR 2016	1	0.078
PROCEEDINGS OF 2015 INTERNATIONAL CONFERENCE ON MACHINE LEARNING AND CYBERNETICS VOL 2	1	0.078
PROCEEDINGS OF 2016 15TH INTERNATIONAL CONFERENCE ON FRONTIERS IN HANDWRITING RECOGNITION ICFHR	1	0.078
PROCEEDINGS OF 2016 5TH BRAZILIAN CONFERENCE ON INTELLIGENT SYSTEMS BRACIS 2016	1	0.078
PROCEEDINGS OF 2016 IEEE INTERNATIONAL SYMPOSIUM ON MULTIMEDIA ISM	1	0.078
PROCEEDINGS OF 2018 10TH INTERNATIONAL CONFERENCE ON MACHINE LEARNING AND COMPUTING ICMLC 2018	1	0.078
PROCEEDINGS OF ELM 2016	1	0.078
PROCEEDINGS OF INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND DATA ENGINEERING	1	0.078
PROCEEDINGS OF THE 10TH WORLD CONGRESS ON INTELLIGENT CONTROL AND AUTOMATION WCICA 2012	1	0.078
PROCEEDINGS OF THE 12TH INTERNATIONAL CONFERENCE ON DISTRIBUTED SMART CAMERAS ICDSC 18	1	0.078
PROCEEDINGS OF THE 15TH INTERNATIONAL CONFERENCE OF THE BIOMETRICS SPECIAL INTEREST GROUP BIOSIG 2016	1	0.078
PROCEEDINGS OF THE 2013 IEEE CONFERENCE ON CYBERNETICS AND INTELLIGENT SYSTEMS CIS	1	0.078
PROCEEDINGS OF THE 2015 CONFERENCE OF THE INTERNATIONAL FUZZY SYSTEMS ASSOCIATION AND THE EUROPEAN SOCIETY FOR FUZZY LOGIC AND TECHNOLOGY	1	0.078
PROCEEDINGS OF THE 2015 SEVENTH INTERNATIONAL CONFERENCE OF SOFT COMPUTING AND PATTERN RECOGNITION SOCPAR 2015	1	0.078
PROCEEDINGS OF THE 2017 7TH INTERNATIONAL CONFERENCE ON COMPUTER AND KNOWLEDGE ENGINEERING ICCKE	1	0.078
PROCEEDINGS OF THE 2017 ACM INTERNATIONAL JOINT CONFERENCE ON PERVASIVE AND UBIQUITOUS COMPUTING AND PROCEEDINGS OF THE 2017 ACM INTERNATIONAL SYMPOSIUM ON WEARABLE COMPUTERS UBICOMP ISWC 17 ADJUNCT	1	0.078
PROCEEDINGS OF THE 2017 INTELLIGENT SYSTEMS CONFERENCE INTELLISYS	1	0.078
