Source Titles	records	% of 1289
2018 IEEE WINTER CONFERENCE ON APPLICATIONS OF COMPUTER VISION WACV 2018	2	0.155
2018 INDONESIAN ASSOCIATION FOR PATTERN RECOGNITION INTERNATIONAL CONFERENCE INAPR	2	0.155
2018 INNOVATIONS IN INTELLIGENT SYSTEMS AND APPLICATIONS INISTA	2	0.155
2018 INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND BIG DATA ICAIBD	2	0.155
2018 INTERNATIONAL CONFERENCE ON BANGLA SPEECH AND LANGUAGE PROCESSING ICBSLP	2	0.155
2018 INTERNATIONAL CONFERENCE ON IMAGE AND VISION COMPUTING NEW ZEALAND IVCNZ	2	0.155
6TH INTERNATIONAL CONFERENCE ON SOFT COMPUTING AND INTELLIGENT SYSTEMS AND THE 13TH INTERNATIONAL SYMPOSIUM ON ADVANCED INTELLIGENT SYSTEMS	2	0.155
ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS	2	0.155
ADVANCED DATA MINING AND APPLICATIONS ADMA 2010 PT II	2	0.155
ADVANCED DATA MINING AND APPLICATIONS PROCEEDINGS	2	0.155
ADVANCES IN COMPUTATIONAL INTELLIGENCE PT I IWANN 2015	2	0.155
ADVANCES IN KNOWLEDGE DISCOVERY AND DATA MINING PAKDD 2016 PT II	2	0.155
ADVANCES IN NEURAL NETWORKS ISNN 2011 PT III	2	0.155
AFFECTIVE COMPUTING AND INTELLIGENT INTERACTION PT II	2	0.155
ARTIFICIAL INTELLIGENCE IN MEDICINE	2	0.155
ARTIFICIAL INTELLIGENCE METHODS AND APPLICATIONS	2	0.155
ARTIFICIAL NEURAL NETWORKS AND MACHINE LEARNING PT II	2	0.155
CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS	2	0.155
CHINESE CONTROL CONFERENCE	2	0.155
COMPUTER VISION ACCV 2010 PT II	2	0.155
COMPUTER VISION ECCV 2014 WORKSHOPS PT III	2	0.155
COMPUTER VISION ECCV 2016 PT IV	2	0.155
COMPUTER VISION ECCV 2016 PT VI	2	0.155
DETECTION AND IDENTIFICATION OF RARE AUDIOVISUAL CUES	2	0.155
ECAI 2016 22ND EUROPEAN CONFERENCE ON ARTIFICIAL INTELLIGENCE	2	0.155
EIGHTH INTERNATIONAL CONFERENCE ON MACHINE LEARNING AND APPLICATIONS PROCEEDINGS	2	0.155
ENGINEERING APPLICATIONS OF NEURAL NETWORKS EANN 2017	2	0.155
FOUTH JOINT IEEE INTERNATIONAL CONFERENCES ON DEVELOPMENT AND LEARNING AND EPIGENETIC ROBOTICS IEEE ICDL EPIROB 2014	2	0.155
ICMR 15 PROCEEDINGS OF THE 2015 ACM INTERNATIONAL CONFERENCE ON MULTIMEDIA RETRIEVAL	2	0.155
ICPRAM PROCEEDINGS OF THE 6TH INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION APPLICATIONS AND METHODS	2	0.155
IEEE COMPUTATIONAL INTELLIGENCE MAGAZINE	2	0.155
