Meeting Titles	records	% of 1289
22ND EUROPEAN CONFERENCE ON ARTIFICIAL INTELLIGENCE ECAI	2	0.155
23RD ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING KDD	2	0.155
23RD BRITISH MACHINE VISION CONFERENCE	2	0.155
23RD IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION CVPR	2	0.155
28TH IEEE INTELLIGENT VEHICLES SYMPOSIUM IV	2	0.155
36TH CHINESE CONTROL CONFERENCE CCC	2	0.155
3RD IAPR ASIAN CONFERENCE ON PATTERN RECOGNITION ACPR	2	0.155
4TH BI ANNUAL INTERNATIONAL CONFERENCE OF THE HUMAINE ASSOCIATION ON AFFECTIVE COMPUTING AND INTELLIGENT INTERACTION ACII 2011	2	0.155
4TH INTERNATIONAL WORKSHOP ON MACHINE LEARNING IN MEDICAL IMAGING MLMI IN CONJUNCTION WITH THE 16TH INTERNATIONAL CONFERENCE ON MEDICAL IMAGE COMPUTING AND COMPUTER ASSISTED INTERVENTION MICCAI	2	0.155
4TH JOINT IEEE INTERNATIONAL CONFERENCES ON DEVELOPMENT AND LEARNING AND EPIGENETIC ROBOTICS IEEE ICDL EPIROB	2	0.155
5TH ACM INTERNATIONAL CONFERENCE ON MULTIMEDIA RETRIEVAL ICMR	2	0.155
5TH IEEE LATIN AMERICAN CONFERENCE ON COMPUTATIONAL INTELLIGENCE LA CCI	2	0.155
5TH INTERNATIONAL CONFERENCE ON ADVANCED DATA MINING AND APPLICATIONS	2	0.155
6TH ECCOMAS THEMATIC CONFERENCE ON COMPUTATIONAL VISION AND MEDICAL IMAGE PROCESSING VIPIMAGE	2	0.155
6TH INTERNATIONAL CONFERENCE ON ADVANCED DATA MINING AND APPLICATIONS ADMA	2	0.155
6TH INTERNATIONAL CONFERENCE ON SOFT COMPUTING AND INTELLIGENT SYSTEMS SCIS 13TH INTERNATIONAL SYMPOSIUM ON ADVANCED INTELLIGENCE SYSTEMS ISIS	2	0.155
7TH BRAZILIAN CONFERENCE ON INTELLIGENT SYSTEMS BRACIS	2	0.155
7TH CHINESE CONFERENCE ON PATTERN RECOGNITION CCPR	2	0.155
7TH INTERNATIONAL CONFERENCE ON INTELLIGENCE SCIENCE AND BIG DATA ENGINEERING ISCIDE	2	0.155
7TH INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION AND MACHINE INTELLIGENCE PREMI	2	0.155
8TH HELLENIC CONFERENCE ON ARTIFICIAL INTELLIGENCE SETN	2	0.155
8TH IBERIAN CONFERENCE ON PATTERN RECOGNITION AND IMAGE ANALYSIS IBPRIA	2	0.155
8TH INTERNATIONAL CONFERENCE ON COMPUTER AND KNOWLEDGE ENGINEERING ICCKE	2	0.155
8TH INTERNATIONAL CONFERENCE ON KNOWLEDGE SCIENCE ENGINEERING AND MANAGEMENT KSEM	2	0.155
8TH INTERNATIONAL CONFERENCE ON MACHINE LEARNING AND APPLICATIONS	2	0.155
8TH INTERNATIONAL SYMPOSIUM ON NEURAL NETWORKS	2	0.155
9TH IFIP WG 12 5 INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE APPLICATIONS AND INNOVATIONS AIAI	2	0.155
