Authors	records	% of 1289
DALHOUMI S	2	0.155
DAN ZP	2	0.155
DAS S	2	0.155
DE COTE EM	2	0.155
DE HAUWERE YM	2	0.155
DE MANTARAS RL	2	0.155
DE REZENDE ERS	2	0.155
DELIBASIS K	2	0.155
DENZLER J	2	0.155
DEVI VS	2	0.155
DING W	2	0.155
DIXIT M	2	0.155
DONAHUE J	2	0.155
DONCIEUX S	2	0.155
DRAY G	2	0.155
DROR G	2	0.155
DU B	2	0.155
DU YT	2	0.155
DUAN YC	2	0.155
EKENEL HK	2	0.155
ESCALANTE HJ	2	0.155
FAN L	2	0.155
FARAJIDAVAR N	2	0.155
FEI XX	2	0.155
FERNANDES K	2	0.155
FERRARI V	2	0.155
FEUERRIEGEL S	2	0.155
FLOREA C	2	0.155
FLOREA L	2	0.155
FRANCO A	2	0.155
FRANK E	2	0.155
FREUDENTHAL E	2	0.155
FU ZY	2	0.155
GARCIA EO	2	0.155
GEORGAKOPOULOS SV	2	0.155
GHIFARY M	2	0.155
GIRSHICK R	2	0.155
GONG DW	2	0.155
GROLMAN E	2	0.155
GROZAVU N	2	0.155
GRUBER A	2	0.155
GUADARRAMA S	2	0.155
GUI L	2	0.155
GUO DW	2	0.155
GUO Y	2	0.155
GUO YC	2	0.155
GUPTA A	2	0.155
GUPTA SK	2	0.155
HAFEMANN LG	2	0.155
HAMMER B	2	0.155
HAN H	2	0.155
HAN J	2	0.155
HANNEKE S	2	0.155
HAO P	2	0.155
HAO ZF	2	0.155
HARADA N	2	0.155
HASEGAWA-JOHNSON M	2	0.155
HAUPTMANN AG	2	0.155
HAWASLY M	2	0.155
HAYASHI N	2	0.155
HAYES B	2	0.155
HAZAN T	2	0.155
HEBERT M	2	0.155
HERAVI EJ	2	0.155
HERMESSI H	2	0.155
HO SS	2	0.155
HOGG D	2	0.155
HOIEM D	2	0.155
HOSSAIN I	2	0.155
HSU JYJ	2	0.155
HU WM	2	0.155
HUAN J	2	0.155
HUANG DG	2	0.155
HUANG HY	2	0.155
HUANG PP	2	0.155
HUANG TJ	2	0.155
HUANG Z	2	0.155
HUANG ZQ	2	0.155
HUY TN	2	0.155
IKRAM MA	2	0.155
IWATA T	2	0.155
JI SW	2	0.155
JIANG M	2	0.155
JIANG SQ	2	0.155
KAMBHAMETTU C	2	0.155
KARASUYAMA M	2	0.155
KAWANAKA H	2	0.155
KERSTING K	2	0.155
KHAN A	2	0.155
KHUDANPUR S	2	0.155
KIM J	2	0.155
KIM K	2	0.155
KIM SW	2	0.155
KLEIJN WB	2	0.155
KLENK M	2	0.155
KLETTE R	2	0.155
KOCER B	2	0.155
KORDIK P	2	0.155
KORZH O	2	0.155
KOTTARI K	2	0.155
KRAUS M	2	0.155
KRISHNAN NC	2	0.155
KRITHARA A	2	0.155
KULESZA A	2	0.155
KURITA T	2	0.155
KWEON IS	2	0.155
KWITT R	2	0.155
LAM A	2	0.155
LAMPERT CH	2	0.155
LANCE BJ	2	0.155
LANE T	2	0.155
LANZ O	2	0.155
LAWHERN VJ	2	0.155
LEE CH	2	0.155
LEE D	2	0.155
LEMAIRE V	2	0.155
LENGELLE R	2	0.155
LI C	2	0.155
LI J	2	0.155
LI JJ	2	0.155
LI Q	2	0.155
LI S	2	0.155
LI XS	2	0.155
LI YX	2	0.155
LI ZZ	2	0.155
LIAO HYM	2	0.155
LIN CT	2	0.155
LIN HF	2	0.155
LIN J	2	0.155
LIN YJ	2	0.155
LITTWIN E	2	0.155
LIU CL	2	0.155
LIU HB	2	0.155
LIU HF	2	0.155
LIU HT	2	0.155
LIU HW	2	0.155
LIU T	2	0.155
LIU TL	2	0.155
LIU X	2	0.155
LIU XM	2	0.155
LIU YC	2	0.155
LIU Z	2	0.155
LIU ZR	2	0.155
LIU ZY	2	0.155
LIWICKI M	2	0.155
LONG J	2	0.155
LOPEZ-SANCHEZ D	2	0.155
LU BL	2	0.155
LU CH	2	0.155
LU Q	2	0.155
LUCZAK A	2	0.155
MA B	2	0.155
MACKIN KJ	2	0.155
MAGLOGIANNIS I	2	0.155
MAKRIS D	2	0.155
MALIK J	2	0.155
MANOHAR V	2	0.155
MATSOUKAS S	2	0.155
MAURER A	2	0.155
MEDIONI G	2	0.155
MEDRANO C	2	0.155
MENG JN	2	0.155
MENSINK T	2	0.155
MHALLA A	2	0.155
MIAO DQ	2	0.155
MISHRA M	2	0.155
MOESLUND TB	2	0.155
MOHAMMED N	2	0.155
MOLINEAUX M	2	0.155
MOMEN S	2	0.155
MONTMAIN J	2	0.155
MOREIRA G	2	0.155
MORI K	2	0.155
MORIN E	2	0.155
MOURALI O	2	0.155
MUNDHENK TN	2	0.155
MURPHEY YL	2	0.155
NADDAF Y	2	0.155
NAGAI Y	2	0.155
NAHAVANDHI S	2	0.155
NATARAJAN S	2	0.155
NATSCHLAGER T	2	0.155
NI TG	2	0.155
NIE FP	2	0.155
NOWE A	2	0.155
ODOM P	2	0.155
OHSUGA A	2	0.155
ORIHARA R	2	0.155
ORRITE C	2	0.155
OYEN D	2	0.155
PAASSEN B	2	0.155
PALIOURAS G	2	0.155
PALMA LB	2	0.155
PAN J	2	0.155
PANCHAPAGESAN S	2	0.155
PANG JB	2	0.155
PARKHI O	2	0.155
PARSONS TD	2	0.155
PAUL S	2	0.155
PENG J	2	0.155
PENG PX	2	0.155
PETERS J	2	0.155
PFAHRINGER B	2	0.155
PLAGIANAKOS VP	2	0.155
POVEY D	2	0.155
PRENDINGER H	2	0.155
PROPER S	2	0.155
QIN J	2	0.155
QIN L	2	0.155
QIN SY	2	0.155
QING CM	2	0.155
QUANZ B	2	0.155
QUINIOU S	2	0.155
QUINN A	2	0.155
RAO YH	2	0.155
REN Z	2	0.155
RIBEIRO B	2	0.155
ROBERTSON B	2	0.155
RODNER E	2	0.155
RODRIGUEZ M	2	0.155
ROMERA-PAREDES B	2	0.155
ROSMAN B	2	0.155
ROSS A	2	0.155
ROY M	2	0.155
ROY S	2	0.155
RUCKERT U	2	0.155
RYBOK L	2	0.155
SABOURIN R	2	0.155
SALAKEN SM	2	0.155
SAMANTA S	2	0.155
SANGUINETTI G	2	0.155
SANSONE C	2	0.155
SATO I	2	0.155
SATO M	2	0.155
SATO Y	2	0.155
SCHEFFER T	2	0.155
SCHOELLIG AP	2	0.155
SCHOENMAKERS G	2	0.155
SCHULLER BW	2	0.155
SCHULZ A	2	0.155
SEGUIER R	2	0.155
SELVAN AT	2	0.155
SERRA E	2	0.155
SHAO L	2	0.155
SHAPIRO EM	2	0.155
SHARMA A	2	0.155
SHEN CH	2	0.155
SHEN DG	2	0.155
SHEN YD	2	0.155
SHEN ZQ	2	0.155
SHI BE	2	0.155
SHI XX	2	0.155
SHI ZY	2	0.155
SIGAL L	2	0.155
SINGH A	2	0.155
SINGH S	2	0.155
SKOLIDIS G	2	0.155
SMIRNOV E	2	0.155
SMIRNOV EN	2	0.155
SOLADIE C	2	0.155
SONG H	2	0.155
SONG HJ	2	0.155
STAUFFER C	2	0.155
STIEFELHAGEN R	2	0.155
STOIBER N	2	0.155
STROM N	2	0.155
STUMP E	2	0.155
SU B	2	0.155
SU KH	2	0.155
SUBRAMANIAN R	2	0.155
SUI WC	2	0.155
SUN C	2	0.155
SUN J	2	0.155
SUN JG	2	0.155
SUN SC	2	0.155
SUN SW	2	0.155
SUN X	2	0.155
SUN Y	2	0.155
SUZUKI T	2	0.155
TAHARA Y	2	0.155
TAKANO T	2	0.155
TAKASE H	2	0.155
TAKASU A	2	0.155
TAKEUCHI I	2	0.155
TAN B	2	0.155
TAN Q	2	0.155
TAN YP	2	0.155
TANG NC	2	0.155
TANG XL	2	0.155
TAYLOR G	2	0.155
TIAN YH	2	0.155
TONG HH	2	0.155
TRAN SN	2	0.155
TREIBITZ T	2	0.155
TSOUMAKAS G	2	0.155
TSUCHIYA M	2	0.155
TSURUOKA S	2	0.155
TU WT	2	0.155
TUYLS K	2	0.155
TUYTELAARS T	2	0.155
UEDA N	2	0.155
UHL A	2	0.155
VENESS J	2	0.155
VERNOOIJ MW	2	0.155
VERTAN C	2	0.155
VRANCX P	2	0.155
WANG CJ	2	0.155
WANG G	2	0.155
WANG HQ	2	0.155
WANG HY	2	0.155
WANG HZ	2	0.155
WANG JD	2	0.155
WANG JY	2	0.155
WANG L	2	0.155
WANG SH	2	0.155
WANG SQ	2	0.155
WANG SS	2	0.155
WANG SY	2	0.155
WANG XF	2	0.155
WANG XG	2	0.155
WANG XK	2	0.155
WANG YX	2	0.155
WANG ZL	2	0.155
WANG ZM	2	0.155
WEN YG	2	0.155
WENG MF	2	0.155
WENINGER F	2	0.155
WU D	2	0.155
WU HR	2	0.155
WU J	2	0.155
WU M	2	0.155
XIAO J	2	0.155
XIN X	2	0.155
XING JL	2	0.155
XU C	2	0.155
XU CS	2	0.155
XU H	2	0.155
XU M	2	0.155
XU R	2	0.155
XU RF	2	0.155
XU X	2	0.155
XU XM	2	0.155
XUE YJ	2	0.155
YAMAGUCHI T	2	0.155
YAN F	2	0.155
YAN GR	2	0.155
YAN K	2	0.155
YANG C	2	0.155
YANG CJ	2	0.155
YANG DQ	2	0.155
YANG J	2	0.155
YANG QA	2	0.155
YANG SW	2	0.155
YANG YM	2	0.155
YE QX	2	0.155
YEN GG	2	0.155
YOO D	2	0.155
YU J	2	0.155
YU Q	2	0.155
YU X	2	0.155
YU XG	2	0.155
ZAGROUBA E	2	0.155
ZENG JB	2	0.155
ZHA HY	2	0.155
ZHANG BC	2	0.155
ZHANG BT	2	0.155
ZHANG DY	2	0.155
ZHANG JA	2	0.155
ZHANG Q	2	0.155
ZHANG T	2	0.155
ZHANG XY	2	0.155
ZHANG YD	2	0.155
ZHANG YP	2	0.155
ZHANG YQ	2	0.155
ZHANG ZF	2	0.155
ZHANG ZH	2	0.155
ZHAO CR	2	0.155
ZHAO GY	2	0.155
ZHAO KF	2	0.155
ZHAO W	2	0.155
ZHENG VW	2	0.155
ZHENG WL	2	0.155
ZHENG Y	2	0.155
ZHONG H	2	0.155
ZHOU B	2	0.155
ZHOU HW	2	0.155
ZHOU P	2	0.155
ZHOU XM	2	0.155
ZHOU XY	2	0.155
ZHOU YQ	2	0.155
ZHU Y	2	0.155
ZHUO HH	2	0.155
ABBAS BS	1	0.078
ABBAS-ZADEH MJ	1	0.078
ABBASI K	1	0.078
ABBASNEJAD I	1	0.078
ABBASNEJAD ME	1	0.078
ABDALLA K	1	0.078
ABE O	1	0.078
ABEBE G	1	0.078
ABOROT J	1	0.078
ABOU-ZLEIKHA M	1	0.078
ABRAHAM A	1	0.078
ABRAHAM B	1	0.078
ACHANTA R	1	0.078
ACHARYA UR	1	0.078
ACHTERBERG HC	1	0.078
ADACHI J	1	0.078
ADAMA DA	1	0.078
ADAMS B	1	0.078
AFRIN K	1	0.078
AFSARI F	1	0.078
AFZAL MZ	1	0.078
AGARWAL S	1	0.078
AGHAEBRAHIMIAN A	1	0.078
AGHAMALEKI JA	1	0.078
AHMAD R	1	0.078
AHMAD T	1	0.078
AHMADABADI MN	1	0.078
AHMED KB	1	0.078
AIDOS H	1	0.078
AIRES KRT	1	0.078
AIROLA A	1	0.078
AKAHO S	1	0.078
AKBULUT Y	1	0.078
AKHTAR Z	1	0.078
AKRAM F	1	0.078
AKSOY MS	1	0.078
AL-SAHAF H	1	0.078
AL-SHAREEF S	1	0.078
ALAM M	1	0.078
ALAMGIR M	1	0.078
ALDENEH Z	1	0.078
ALEXE B	1	0.078
ALI K	1	0.078
ALI M	1	0.078
ALI SMA	1	0.078
ALJUNDI R	1	0.078
ALLEN G	1	0.078
ALMAEV T	1	0.078
ALMAJAI I	1	0.078
ALNOWAMI M	1	0.078
ALOIMONOS Y	1	0.078
ALONSO I	1	0.078
ALSABAHI YAL	1	0.078
ALTUN Y	1	0.078
ALVAREZ-GARCIA JA	1	0.078
ALVES MTP	1	0.078
AMON P	1	0.078
AN X	1	0.078
AN ZF	1	0.078
ANAM AM	1	0.078
ANAND A	1	0.078
ANDERSEN T	1	0.078
ANDERSON CW	1	0.078
ANEJA D	1	0.078
ANGELOV P	1	0.078
ANTUNES RA	1	0.078
ANTUNES RCS	1	0.078
ANWAR SM	1	0.078
ANWER RM	1	0.078
AO AJ	1	0.078
AOKI K	1	0.078
APTOULA E	1	0.078
ARAABI BN	1	0.078
ARADILLAS JC	1	0.078
ARAGONES A	1	0.078
ARAUJO FHD	1	0.078
ARBABZADAH F	1	0.078
ARCOS-GARCIA A	1	0.078
ARDESHIR S	1	0.078
ARGANDA-CARRERAS I	1	0.078
ARITA D	1	0.078
ARITSUGI M	1	0.078
ARIZMENDI MD	1	0.078
ARONOWITZ H	1	0.078
ARYMURTHY AM	1	0.078
ARZEL M	1	0.078
ASADPOUR M	1	0.078
ASGARIAN A	1	0.078
ASHRAF AB	1	0.078
ASTROM K	1	0.078
ASTRUP BS	1	0.078
ATAY M	1	0.078
AUNG MSH	1	0.078
AWAIS M	1	0.078
AWASTHI S	1	0.078
AYGUADE E	1	0.078
AYGUN M	1	0.078
AZARBARZIN S	1	0.078
AZIZPOUR H	1	0.078
BABA Y	1	0.078
BAE J	1	0.078
BAE SH	1	0.078
BAESENS B	1	0.078
BAGARINAO E	1	0.078
BAGDANOV AD	1	0.078
BAHADORI MT	1	0.078
BAHARLOU SM	1	0.078
BAHARVAND H	1	0.078
BAI J	1	0.078
BAI JQ	1	0.078
BAI ST	1	0.078
BAISERO A	1	0.078
BALARAMAN R	1	0.078
BALASUBRAMANIAN K	1	0.078
BALASUBRAMANIAN VN	1	0.078
BALDUZZI D	1	0.078
BALIEIRO FKC	1	0.078
BALOGLU UB	1	0.078
BANDEIRA L	1	0.078
BANDRABUR A	1	0.078
BANERJEE D	1	0.078
BANZHAF H	1	0.078
BAPPEE FK	1	0.078
BAPST V	1	0.078
BAR A	1	0.078
BAREINBOIM E	1	0.078
BAREKATAIN M	1	0.078
BARHOUMI W	1	0.078
BARKAN O	1	0.078
BARLIAN E	1	0.078
BARNER KE	1	0.078
BARO X	1	0.078
BARRETT W	1	0.078
BASHIR S	1	0.078
BASU S	1	0.078
BATOUCHE M	1	0.078
BATTIATO S	1	0.078
BAUMANN U	1	0.078
BAVEYE Y	1	0.078
BAY JW	1	0.078
BAYEN AM	1	0.078
BAYKARA HC	1	0.078
BAYRAMOGLU N	1	0.078
BEBIS G	1	0.078
BECHIKH S	1	0.078
BEHNKE S	1	0.078
BEIJBOM O	1	0.078
BELFER Y	1	0.078
BELLOCCHIO E	1	0.078
BELLOTTO N	1	0.078
BELONGIE S	1	0.078
BELVER C	1	0.078
BEN-DAVID S	1	0.078
BENATO BC	1	0.078
BENGIO Y	1	0.078
BENITEZ-JIMENEZ R	1	0.078
BENJAMINI Y	1	0.078
BENNIN KE	1	0.078
BENSMAIL H	1	0.078
BENSRHAIR A	1	0.078
BERGER K	1	0.078
BERGMANN R	1	0.078
BERNABEU M	1	0.078
BESER F	1	0.078
BHAT RR	1	0.078
BHATT G	1	0.078
BHATTACHARYA U	1	0.078
BIANCHI-BERTHOUZE N	1	0.078
BIANCO S	1	0.078
BICKEL S	1	0.078
BIEGER J	1	0.078
BIGAL E	1	0.078
BILEN H	1	0.078
BIONDI GO	1	0.078
BIRCANOGLU C	1	0.078
BIRD JJ	1	0.078
BISPO A	1	0.078
BIYIK E	1	0.078
BLACK MJ	1	0.078
BLAES S	1	0.078
BLISS N	1	0.078
BLITZER J	1	0.078
BLOOM V	1	0.078
